site_name,latitude,longitude,dcac_ratio,gcr,racking,racking_encoded,cf_60min,annual_ghi,mean_kt,std_kt,ghi_cv,mean_dni,pct_clear_hours,subhourly_loss_pct,subhourly_loss_pct_clamped
GoodwinCreek_MS,34.25,-89.87,1.6,0.3,tracker,1,16.884251110468952,1534.22,0.4596,0.2677,0.9279,312.37,25.67,2.44279554568582,2.44279554568582
GoodwinCreek_MS,34.25,-89.87,1.6,0.3,fixed,0,14.602933566911863,1534.22,0.4596,0.2677,0.9279,312.37,25.67,2.3238205810528467,2.3238205810528467
GoodwinCreek_MS,34.25,-89.87,1.6,0.4,tracker,1,16.49096060913177,1534.22,0.4596,0.2677,0.9279,312.37,25.67,2.560642386904893,2.560642386904893
GoodwinCreek_MS,34.25,-89.87,1.6,0.4,fixed,0,14.53850537882675,1534.22,0.4596,0.2677,0.9279,312.37,25.67,2.287663410952102,2.287663410952102
GoodwinCreek_MS,34.25,-89.87,1.6,0.5,tracker,1,16.04609174139879,1534.22,0.4596,0.2677,0.9279,312.37,25.67,2.5290235336327695,2.5290235336327695
GoodwinCreek_MS,34.25,-89.87,1.6,0.5,fixed,0,14.463172931352451,1534.22,0.4596,0.2677,0.9279,312.37,25.67,2.2567861027109735,2.2567861027109735
GoodwinCreek_MS,34.25,-89.87,1.6,0.6,tracker,1,15.584719724441635,1534.22,0.4596,0.2677,0.9279,312.37,25.67,2.4276926938994103,2.4276926938994103
GoodwinCreek_MS,34.25,-89.87,1.6,0.6,fixed,0,14.368495410855434,1534.22,0.4596,0.2677,0.9279,312.37,25.67,2.217696876984017,2.217696876984017
TableMountain_CO,40.13,-105.24,1.2,0.3,tracker,1,21.559934138721275,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.8828095194438421,0.0
TableMountain_CO,40.13,-105.24,1.2,0.3,fixed,0,18.53798473990667,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.7802846780066595,0.0
TableMountain_CO,40.13,-105.24,1.2,0.4,tracker,1,20.840401725821927,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.7895156619286516,0.0
TableMountain_CO,40.13,-105.24,1.2,0.4,fixed,0,18.43945025358096,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.8252489750671246,0.0
TableMountain_CO,40.13,-105.24,1.2,0.5,tracker,1,20.028880974491106,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.9048618017317067,0.0
TableMountain_CO,40.13,-105.24,1.2,0.5,fixed,0,18.32369170031595,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.869972171955209,0.0
TableMountain_CO,40.13,-105.24,1.2,0.6,tracker,1,19.22671745210049,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.8819520500378434,0.0
TableMountain_CO,40.13,-105.24,1.2,0.6,fixed,0,18.171390887276935,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.9244845534612942,0.0
TableMountain_CO,40.13,-105.24,1.3,0.3,tracker,1,21.232983632386976,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.3050332148299176,0.0
TableMountain_CO,40.13,-105.24,1.3,0.3,fixed,0,18.306487894465175,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.27089877576188914,0.0
TableMountain_CO,40.13,-105.24,1.3,0.4,tracker,1,20.54461061791557,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.19950228293346106,0.0
TableMountain_CO,40.13,-105.24,1.3,0.4,fixed,0,18.217295271556953,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.31327886159639223,0.0
TableMountain_CO,40.13,-105.24,1.3,0.5,tracker,1,19.774995997016283,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.3090978391805292,0.0
TableMountain_CO,40.13,-105.24,1.3,0.5,fixed,0,18.111183398168578,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.35748590387749724,0.0
TableMountain_CO,40.13,-105.24,1.3,0.6,tracker,1,19.014140145635245,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.31899552802682574,0.0
TableMountain_CO,40.13,-105.24,1.3,0.6,fixed,0,17.972526001129268,1724.27,0.5738,0.2979,0.8728,401.32,41.92,-0.4108397203581027,0.0
TableMountain_CO,40.13,-105.24,1.4,0.3,tracker,1,20.721963071252965,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.22990154285254644,0.22990154285254644
TableMountain_CO,40.13,-105.24,1.4,0.3,fixed,0,17.92695153577932,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.21431481352279222,0.21431481352279222
TableMountain_CO,40.13,-105.24,1.4,0.4,tracker,1,20.070487878180856,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.34701298832394945,0.34701298832394945
TableMountain_CO,40.13,-105.24,1.4,0.4,fixed,0,17.84631383587588,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.17649012872123446,0.17649012872123446
TableMountain_CO,40.13,-105.24,1.4,0.5,tracker,1,19.358557169608723,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.27214313308467747,0.27214313308467747
TableMountain_CO,40.13,-105.24,1.4,0.5,fixed,0,17.749793499232666,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.1380950508119381,0.1380950508119381
TableMountain_CO,40.13,-105.24,1.4,0.6,tracker,1,18.64727696385891,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.2164904922119551,0.2164904922119551
TableMountain_CO,40.13,-105.24,1.4,0.6,fixed,0,17.625812481351463,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.08681079727086034,0.08681079727086034
TableMountain_CO,40.13,-105.24,1.5,0.3,tracker,1,20.125720765309563,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.638768279410879,0.638768279410879
TableMountain_CO,40.13,-105.24,1.5,0.3,fixed,0,17.460547002351937,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.5779077964264823,0.5779077964264823
TableMountain_CO,40.13,-105.24,1.5,0.4,tracker,1,19.51230381902222,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.7491606579468116,0.7491606579468116
TableMountain_CO,40.13,-105.24,1.5,0.4,fixed,0,17.38657436527217,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.5439371184316661,0.5439371184316661
TableMountain_CO,40.13,-105.24,1.5,0.5,tracker,1,18.857510139496465,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.6979246461218583,0.6979246461218583
TableMountain_CO,40.13,-105.24,1.5,0.5,fixed,0,17.297425823850418,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.5098862587785443,0.5098862587785443
TableMountain_CO,40.13,-105.24,1.5,0.6,tracker,1,18.199180759384323,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.6251198007346124,0.6251198007346124
TableMountain_CO,40.13,-105.24,1.5,0.6,fixed,0,17.18394974842964,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.4591426629880109,0.4591426629880109
TableMountain_CO,40.13,-105.24,1.6,0.3,tracker,1,19.49828080337698,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.9885581747105234,0.9885581747105234
TableMountain_CO,40.13,-105.24,1.6,0.3,fixed,0,16.96824678379517,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.8843518790855576,0.8843518790855576
TableMountain_CO,40.13,-105.24,1.6,0.4,tracker,1,18.92683551438535,1724.27,0.5738,0.2979,0.8728,401.32,41.92,1.0740165019399877,1.0740165019399877
TableMountain_CO,40.13,-105.24,1.6,0.4,fixed,0,16.899910113418596,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.8552226874185328,0.8552226874185328
TableMountain_CO,40.13,-105.24,1.6,0.5,tracker,1,18.323051346330793,1724.27,0.5738,0.2979,0.8728,401.32,41.92,1.0039051522796083,1.0039051522796083
TableMountain_CO,40.13,-105.24,1.6,0.5,fixed,0,16.817399529588034,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.8293896602990798,0.8293896602990798
TableMountain_CO,40.13,-105.24,1.6,0.6,tracker,1,17.721937953443454,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.9429088956552243,0.9429088956552243
TableMountain_CO,40.13,-105.24,1.6,0.6,fixed,0,16.714022991392408,1724.27,0.5738,0.2979,0.8728,401.32,41.92,0.7909904670767505,0.7909904670767505
